Word,Frequency
python,3
is,2
amazing,1
its,3
simple,1
powerful,1
and,3
fun,1
to,3
learn,2
learning,1
helps,1
in,1
automating,1
boring,1
stuff,1
analyzing,1
data,2
even,1
building,1
websites,2
yes,1
everywhere,1
from,2
social,1
media,1
ecommerce,1
science,1
entertainment—data,1
drives,1
decisions,1
but,1
what,1
makes,1
so,1
popular,1
it,5
the,3
easy,1
syntax,1
vast,1
libraries,1
community,1
support,1
probably,1
all,1
of,1
lets,1
be,1
honest—python,1
isnt,1
just,1
a,2
language,1
superpower,1
love,1
live,1
